Semester,Age,Gender,Address,Region,Family_Size,Family_Income,First_Generation_Student,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,GPA,Marks_Math,Marks_Physics,Marks_CS,Marks_English,Marks_Economics,Marks_Elective,Grade_1,Grade_2,Final_Grade,Number_of_Backlogs,Number_of_Failures,Attendance_Pct,Assignment_Score,Credits_Completed,Study_Time,Number_of_Absences,LMS_Activity_Score,Login_Frequency_Per_Week,Participation_Level,Class_Engagement_Score,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Wants_Higher_Education,Internet_Access,In_Relationship,Attended_Nursery,Travel_Time,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Tuition_Fee_Payment_Status,Scholarship_Available,Financial_Aid,Dropped_Out
1,23,Male,Rural,East,<=3,High,Yes,Together,Primary,Unknown,Services,Services,Home_Proximity,Father,9.4,55.5,81.3,74.3,83.0,67.1,74.7,17,18,18,0,0,77.7,61.0,24,4,4,60.3,4,High,6.8,No,No,Yes,No,Yes,Yes,Yes,Yes,4,2,3,2,2,3,2,Paid,Yes,No,0
2,24,Male,Rural,East,<=3,High,Yes,Together,Primary,Unknown,Services,Services,Home_Proximity,Father,7.52,51.3,58.9,52.6,67.3,66.1,59.5,14,14,14,0,1,64.9,39.8,48,1,14,63.5,1,High,7.3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4,2,3,5,5,5,4,Paid,Yes,No,0
3,24,Male,Rural,East,<=3,High,Yes,Together,Primary,Unknown,Services,Services,Home_Proximity,Father,5.91,39.7,43.7,55.1,29.4,30.6,47.2,12,10,11,0,1,83.5,53.2,72,4,6,74.4,3,Medium,6.3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,2,5,2,4,3,1,Partial,Yes,No,0
4,25,Male,Rural,East,<=3,High,Yes,Together,Primary,Unknown,Services,Services,Home_Proximity,Father,6.35,62.7,41.2,54.3,47.8,45.0,50.5,10,11,10,0,0,73.9,49.5,96,2,6,65.3,5,Medium,6.0,No,Yes,No,No,Yes,Yes,Yes,Yes,4,2,4,3,5,4,1,Paid,Yes,No,0
1,20,Female,Rural,West,>3,High,No,Together,Higher,Secondary,Other,Other,Reputation,Mother,3.76,45.8,23.3,37.0,34.9,19.6,22.1,9,6,8,1,3,65.3,21.6,20,1,4,60.5,7,Low,5.4,Yes,No,Yes,Yes,Yes,Yes,No,No,1,5,5,5,5,4,1,Unpaid,Yes,No,1
2,21,Female,Rural,West,>3,High,No,Together,Higher,Secondary,Other,Other,Reputation,Mother,2.98,13.3,26.9,16.7,24.1,23.5,11.8,3,3,3,2,1,45.8,12.5,32,4,14,30.4,3,Low,3.1,No,No,Yes,No,Yes,Yes,No,No,1,5,5,1,3,5,2,Paid,Yes,No,1
3,21,Female,Rural,West,>3,High,No,Together,Higher,Secondary,Other,Other,Reputation,Mother,2.17,23.2,11.2,13.1,12.7,7.0,28.0,6,5,6,1,1,83.9,17.1,60,2,5,59.5,3,Low,1.0,No,No,No,No,Yes,Yes,No,No,1,5,4,4,1,5,4,Paid,Yes,No,0
4,22,Female,Rural,West,>3,High,No,Together,Higher,Secondary,Other,Other,Reputation,Mother,4.2,30.1,28.6,31.2,40.4,41.5,30.5,6,9,8,2,1,74.0,35.1,64,3,4,48.3,4,Low,4.9,No,No,Yes,No,Yes,Yes,No,No,1,5,2,1,1,4,5,Paid,Yes,No,0
1,24,Male,Urban,North,<=3,High,Yes,Together,Primary,Unknown,Healthcare,Services,Reputation,Mother,8.74,75.2,73.2,60.3,61.2,81.0,64.3,17,14,16,0,0,76.7,59.7,24,3,4,80.7,2,High,6.6,Yes,No,No,Yes,Yes,Yes,No,Yes,3,5,2,1,5,2,1,Partial,No,Yes,0
2,25,Male,Urban,North,<=3,High,Yes,Together,Primary,Unknown,Healthcare,Services,Reputation,Mother,7.17,55.7,69.4,59.0,51.9,50.0,55.2,11,12,12,0,0,79.6,48.9,48,1,4,65.3,5,Medium,6.0,Yes,No,No,Yes,Yes,Yes,No,Yes,3,5,2,5,3,4,2,Paid,No,Yes,0
3,25,Male,Urban,North,<=3,High,Yes,Together,Primary,Unknown,Healthcare,Services,Reputation,Mother,4.98,45.6,41.0,49.0,43.3,53.2,43.6,9,10,10,3,0,73.4,32.7,36,2,5,70.8,7,Low,4.0,Yes,No,No,No,Yes,Yes,No,Yes,3,5,2,3,5,1,3,Paid,No,Yes,0
4,26,Male,Urban,North,<=3,High,Yes,Together,Primary,Unknown,Healthcare,Services,Reputation,Mother,5.66,38.5,41.4,38.2,39.6,33.8,54.6,10,11,10,0,1,70.0,45.3,96,4,3,53.7,5,Medium,4.7,No,Yes,Yes,No,Yes,Yes,No,Yes,3,5,4,2,1,1,1,Partial,No,Yes,0
1,21,Male,Rural,East,>3,Middle,No,Together,Secondary,Primary,Home,Home,Reputation,Father,10.0,64.7,85.0,76.9,70.8,81.3,62.2,19,20,20,1,0,79.3,68.1,20,4,4,64.8,2,High,7.8,No,Yes,No,Yes,Yes,Yes,No,No,4,1,5,1,1,1,5,Paid,No,No,0
2,22,Male,Rural,East,>3,Middle,No,Together,Secondary,Primary,Home,Home,Reputation,Father,8.97,67.6,53.0,70.6,49.6,75.0,68.8,14,17,16,0,0,86.5,62.3,48,3,5,65.5,3,High,5.7,No,No,No,No,Yes,Yes,No,No,4,1,5,2,3,2,4,Paid,No,No,0
3,22,Male,Rural,East,>3,Middle,No,Together,Secondary,Primary,Home,Home,Reputation,Father,8.52,75.1,53.2,59.8,54.2,76.8,63.3,16,16,16,0,0,86.8,55.0,72,4,8,75.5,3,High,6.0,No,Yes,No,No,Yes,Yes,No,No,4,1,3,2,1,2,5,Partial,No,No,0
4,23,Male,Rural,East,>3,Middle,No,Together,Secondary,Primary,Home,Home,Reputation,Father,6.4,41.7,59.0,48.1,44.1,47.6,56.5,13,13,13,0,0,93.4,39.5,96,3,5,46.1,9,Medium,5.9,No,Yes,No,Yes,Yes,Yes,No,No,4,1,1,3,4,5,5,Paid,No,No,0
1,23,Female,Urban,West,>3,Low,Yes,Together,Secondary,Secondary,Home,Home,Reputation,Father,6.26,44.2,41.1,31.8,47.8,56.7,50.8,11,11,11,0,0,85.3,55.7,24,4,3,54.5,3,Medium,6.6,No,No,No,Yes,Yes,Yes,Yes,No,4,3,3,2,5,1,3,Partial,No,No,0
2,24,Female,Urban,West,>3,Low,Yes,Together,Secondary,Secondary,Home,Home,Reputation,Father,4.82,55.5,25.3,36.8,54.4,34.6,44.1,8,11,10,6,0,80.7,52.0,0,2,6,78.5,4,Low,3.2,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4,3,5,3,1,2,5,Paid,No,No,0
3,24,Female,Urban,West,>3,Low,Yes,Together,Secondary,Secondary,Home,Home,Reputation,Father,7.59,63.4,51.3,49.9,48.5,55.5,57.2,16,15,16,1,0,67.6,50.5,60,3,2,50.1,5,High,5.4,No,No,No,No,Yes,Yes,Yes,No,4,3,3,1,1,4,3,Partial,No,No,0
4,25,Female,Urban,West,>3,Low,Yes,Together,Secondary,Secondary,Home,Home,Reputation,Father,3.52,14.8,28.1,32.2,20.6,41.8,16.2,6,6,6,4,1,63.7,26.6,32,2,9,52.2,2,Low,1.4,Yes,No,No,No,Yes,Yes,Yes,No,4,3,3,4,2,1,2,Unpaid,No,No,1
1,19,Male,Urban,South,>3,Low,No,Together,Secondary,Primary,Healthcare,Home,Reputation,Father,7.06,51.1,45.8,58.6,57.1,43.2,40.8,11,12,12,0,0,74.6,54.9,24,3,1,60.6,3,Medium,5.6,Yes,Yes,No,No,Yes,Yes,No,No,3,1,4,1,5,2,5,Unpaid,No,No,0
2,20,Male,Urban,South,>3,Low,No,Together,Secondary,Primary,Healthcare,Home,Reputation,Father,6.57,41.3,47.0,45.3,62.9,49.0,56.3,12,13,12,0,0,72.6,52.4,48,1,0,78.1,2,Medium,4.6,No,No,No,No,Yes,Yes,No,No,3,1,5,3,1,2,1,Paid,No,No,0
